Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
Armagnac,Barbotan Les Thermes - 32150 Barbotan - Cazaubon,1,090763,186,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Capucins (Les),rue des Capucins - 31220 Cazères,1,090932,237,3D35mmNumérique,Numérique 2D,Pierre-Alexandre Nicaise,pan@cinefol31.org,
Cinénacre,5 Allée du Temps Libre - 14440 Douvres-la-Délivrande,1 Jacques Tati,142371,194,Numérique,Numérique 2D,Mathilde Fras,mathilde@cinemalux.org,
Cinénacre,5 Allée du Temps Libre - 14440 Douvres-la-Délivrande,2 Alice Guy,142372,77,Numérique,Numérique 2D,Mathilde Fras,mathilde@cinemalux.org,
Cinéma du Théatre,"8, av. Charles de Gaulle - 78170 La Celle-Saint-Cloud",1,091492,319,35mmNumérique,Numérique 2D,Benjamin Babski,bbabski@ville-lacellesaintcloud.fr,
Cinéma des Cinéastes (Le),"7, av. de Clichy - 75017 Paris",1,003211,314,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cinéma des Cinéastes (Le),"7, av. de Clichy - 75017 Paris",2,003215,93,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cinéma des Cinéastes (Le),"7, av. de Clichy - 75017 Paris",3,003225,71,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Ceretan,Bd Georges Clémenceau - 66400 Céret,1,092302,170,35mmNumérique,Numérique 2D,Michel Laporta,,
7ème Art,Place Lucie Aubrac - BP 51 - 79140 Cerizay,1,092441,200,3D35mmNumérique,Numérique 2D,Nadia Barteau,sudcinenadia@orange.fr,
Espace Grün,"32, rue Georges Risler - 68700 Cernay",1,092542,408,3D35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Familial,"46, rue Diderot - 52600 Chalindrey",1,094711,393,35mmNumérique,Numérique 2D,Franck Mazzacavallo,"theatre.raon@wanadoo.fr, fmprog@orange.fr",
Espace Ciné,rue Félix Faure - 49290 Chalonnes-sur-Loire,1,094922,274,3D35mmNumérique,Numérique 2D,Sylvain Clochard,sylvain@leconcorde.fr,
Comète (La),"5, rue des Fripiers - BP 233 - 51010 Châlons-en-Champagne",1,095006,153,35mmNumérique,Numérique 2D,Sarah Beaufol,sbeaufol@la-comete.fr,
Bijou (Le),"4, place de la Libération - 93160 Noisy-le-Grand",1,292377,252,3D35mmNumérique,Numérique 2D,Christophe GOURJON,christophe.gourjon@ville-noisylegrand.fr,cinema.jeune.public@ville-noisylegrand.fr
Bijou (Le),"4, place de la Libération - 93160 Noisy-le-Grand",2,292378,82,3D35mmNumérique,Numérique 2D,Christophe GOURJON,christophe.gourjon@ville-noisylegrand.fr,cinema.jeune.public@ville-noisylegrand.fr
Bijou (Le),"4, place de la Libération - 93160 Noisy-le-Grand",3,292379,82,3DNumérique,Numérique 2D,Christophe GOURJON,christophe.gourjon@ville-noisylegrand.fr,cinema.jeune.public@ville-noisylegrand.fr
Espace des Arts,"5 bis, av. Nicéphore Niepce - 71100 Chalon-sur-Saône",1,095052,850,Numérique,Numérique 2D,Marine Moiraf,info@espace-des-arts.com,
Espace des Arts,"5 bis, av. Nicéphore Niepce - 71100 Chalon-sur-Saône",2,095056,284,35mmNumérique,Numérique 2D,Marine Moiraf,info@espace-des-arts.com,
CinéMalraux,Malraux scène nationale - Service cinéma - 67 Place François Mitterrand - CS 50147,1,095405,157,35mmNumérique,Numérique 2D,Cynthia Labat,clabat@espacemalraux-chambery.fr,
Astrée (L'),"7, bd du théâtre - 73000 Chambéry",1,095413,238,3D35mmNumérique,Numérique 2D,Martin Bidou,martin.bidou@hautetcourt.com,
Astrée (L'),"7, bd du théâtre - 73000 Chambéry",2,095414,127,3D35mmNumérique,Numérique 2D,Martin Bidou,martin.bidou@hautetcourt.com,
Astrée (L'),"7, bd du théâtre - 73000 Chambéry",3,095415,112,3D35mmNumérique,Numérique 2D,Martin Bidou,martin.bidou@hautetcourt.com,
Astrée (L'),"7, bd du théâtre - 73000 Chambéry",4,095404,107,3D35mmNumérique,Numérique 2D,Martin Bidou,martin.bidou@hautetcourt.com,
Cinéma le Forum,"7, Boulevard du Théâtre - 73000 Chambéry",1,095451,63,35mmNumérique,Numérique 2D,Martin Bidou,martin.bidou@hautetcourt.com,
Cinéma le Forum,"7, Boulevard du Théâtre - 73000 Chambéry",2,095452,172,35mmNumérique,Numérique 2D,Martin Bidou,martin.bidou@hautetcourt.com,
Cinémascoop,"18, rue de la Poste - BP 24 - 43400 Le Chambon-sur-Lignon",1,095732,71,3D35mmNumérique,Numérique 2D,Alain Deleage,cinema.scoop@orange.fr,alain.deleage@neuf.fr
Cinémascoop,"18, rue de la Poste - BP 24 - 43400 Le Chambon-sur-Lignon",2,095733,125,3D35mmNumérique,Numérique 2D,Alain Deleage,cinema.scoop@orange.fr,alain.deleage@neuf.fr
3 Républiques (Les),"10, av. Edouard Herriot - 39300 Champagnole",1,096611,238,3DNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
3 Républiques (Les),"10, av. Edouard Herriot - 39300 Champagnole",2,096612,86,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
3 Républiques (Les),"10, av. Edouard Herriot - 39300 Champagnole",3,096613,65,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Rhodo (Le),Place du centre - 73350 Champagny-en-Vanoise,1,096641,170,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Embarcadère (L'),Place des droits de l'Homme - 71300 Montceau-les-Mines,1,269854,,Numérique,Numérique 2D,Régis Faure,panacea.regis.faure@gmail.com,
Mégarama Studio 66,"66, rue Jean Jaurès - 94500 Champigny-sur-Marne",1,097431,350,35mmNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama Studio 66,"66, rue Jean Jaurès - 94500 Champigny-sur-Marne",2,097432,185,35mmNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama Studio 66,"66, rue Jean Jaurès - 94500 Champigny-sur-Marne",3,097433,144,35mmNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama Studio 66,"66, rue Jean Jaurès - 94500 Champigny-sur-Marne",4,097422,160,35mmNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama Studio 66,"66, rue Jean Jaurès - 94500 Champigny-sur-Marne",5,097434,105,35mmNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Utopia Saint-Siméon,"5, place Camille Jullian - 33000 Bordeaux",1,063411,70,35mmNumérique,Numérique 2D,Patrick Troudet,patrick.troudet@cinemas-utopia.org,
Utopia Saint-Siméon,"5, place Camille Jullian - 33000 Bordeaux",2,063412,79,35mmNumérique,Numérique 2D,Patrick Troudet,patrick.troudet@cinemas-utopia.org,
Utopia Saint-Siméon,"5, place Camille Jullian - 33000 Bordeaux",3,063413,72,35mmNumérique,Numérique 2D,Patrick Troudet,patrick.troudet@cinemas-utopia.org,
Utopia Saint-Siméon,"5, place Camille Jullian - 33000 Bordeaux",4,063414,146,35mmNumérique,Numérique 2D,Patrick Troudet,patrick.troudet@cinemas-utopia.org,
Utopia Saint-Siméon,"5, place Camille Jullian - 33000 Bordeaux",5,063415,186,35mmNumérique,Numérique 2D,Patrick Troudet,patrick.troudet@cinemas-utopia.org,
Elysée (L'),"25, av. du Maréchal Joffre - 60500 Chantilly",1,099031,259,3D35mmNumérique,Numérique 2D,Rod Assous,"cinemaelyseecontact@gmail.com, cinemaelysee@live.fr",
Elysée (L'),"25, av. du Maréchal Joffre - 60500 Chantilly",2,099034,100,3D35mmNumérique,Numérique 2D,Rod Assous,"cinemaelyseecontact@gmail.com, cinemaelysee@live.fr",
Elysée (L'),"25, av. du Maréchal Joffre - 60500 Chantilly",3,099043,61,35mmNumérique,Numérique 2D,Rod Assous,"cinemaelyseecontact@gmail.com, cinemaelysee@live.fr",
Elysée (L'),"25, av. du Maréchal Joffre - 60500 Chantilly",4,099044,100,3D35mmNumérique,Numérique 2D,Rod Assous,"cinemaelyseecontact@gmail.com, cinemaelysee@live.fr",
Ciné lumière,rue de la plaine - 85110 Chantonnay,1,099051,160,35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Astrolab (L'),1 place Charles Trenet - 31860 Labarthe-sur-Leze,1,724160,206,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Astrolab (L'),1 place Charles Trenet - 31860 Labarthe-sur-Leze,2,724161,70,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Jacques Demy,"11, rue du Stade - 44450 Divatte-sur-Loire",1,099631,189,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Alpha,"24, av. Lamartine - 69751 Charbonnières-les-Bains",1,101692,300,3D35mmNumérique,Numérique 2D,Aurélie,gsflyon@free.fr,
Crystal Palace,"14, rue de Bourgogne - 58400 La Charité-sur-Loire",1,102173,203,35mmNumérique,Numérique 2D,Benoit Michel,benoit@sceniquanon.com,
Crystal Palace,"14, rue de Bourgogne - 58400 La Charité-sur-Loire",2,102174,98,35mmNumérique,Numérique 2D,Benoit Michel,benoit@sceniquanon.com,
Halles (Les),place St Philibert - 42190 Charlieu,1,102284,135,3D35mmNumérique,Numérique 2D,Colette Perinet,colette.perinet@gmail.com,
Halles (Les),place St Philibert - 42190 Charlieu,2,102285,75,3D35mmNumérique,Numérique 2D,Colette Perinet,colette.perinet@gmail.com,
Ciné Espérance,rue Antoine Chatel - BP 7602 - 35131 Chartres-de-Bretagne,1,103201,249,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
CGR Bayonne,Site du Glain - Allée de Glain - 64100 Bayonne,1,720600,363,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bayonne,Site du Glain - Allée de Glain - 64100 Bayonne,2,720601,148,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bayonne,Site du Glain - Allée de Glain - 64100 Bayonne,3,720602,101,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bayonne,Site du Glain - Allée de Glain - 64100 Bayonne,4,720603,82,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bayonne,Site du Glain - Allée de Glain - 64100 Bayonne,5,720604,82,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bayonne,Site du Glain - Allée de Glain - 64100 Bayonne,6,720605,94,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bayonne,Site du Glain - Allée de Glain - 64100 Bayonne,7,720606,226,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Vox,place des halles - 16260 Chasseneuil-sur-Bonnieure,1,103561,178,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Recollets (Les),rue du Théatre - 72500 Montval-sur-Loir,1,104164,127,35mmNumérique,Numérique 2D,Michel Martinez,cine-off@numericable.fr,
Centre Culturel Nelson Mandela,Centre Culturel Nelson Mandela - 11 avenue Aimé Césaire,1,303284,117,Numérique,Numérique 2D,Katia BOUYAHIA,katia.bouyahia@est-ensemble.fr,
Megarama Givors,9 avenue Georges Charpak - 69700 Givors,1,178464,339,Numérique,"IMAX 2D, Numérique 2D",Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Megarama Givors,9 avenue Georges Charpak - 69700 Givors,2,178465,200,Numérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Megarama Givors,9 avenue Georges Charpak - 69700 Givors,3,178466,151,Numérique,"Numérique 2D, 4DX en 2D, 4DE-MOTION en 2D, MX4D en 2D",Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Megarama Givors,9 avenue Georges Charpak - 69700 Givors,4,178467,187,Numérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Megarama Givors,9 avenue Georges Charpak - 69700 Givors,5,178468,69,Numérique,"4DX en 2D, 4DE-MOTION en 2D, MX4D en 2D",Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Megarama Givors,9 avenue Georges Charpak - 69700 Givors,6,178469,134,Numérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Megarama Givors,9 avenue Georges Charpak - 69700 Givors,7,178470,107,Numérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Colisée,"1, place du Colisée - 87130 Châteauneuf-la-Forêt",1,104642,210,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Espace Marcel Pagnol,rue Erasme Guichet - 13220 Châteauneuf-les-Martigues,1,104661,120,3D35mmNumérique,Numérique 2D,Thierry MORENO,thierry.moreno@chateauneuf-les-martigues.fr,
Grand Scénario (Le),2 place Charles OTTINA - 69800 Saint-Priest,1,725680,140,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Grand Scénario (Le),2 place Charles OTTINA - 69800 Saint-Priest,2,725681,154,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Grand Scénario (Le),2 place Charles OTTINA - 69800 Saint-Priest,3,725682,196,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Grand Scénario (Le),2 place Charles OTTINA - 69800 Saint-Priest,4,725683,233,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Cinéma Vox,"28, place du Vieux Marché - 45220 Château-Renard",1,104801,62,35mmNumérique,Numérique 2D,,itinerant@levox.fr,
Rex (Le),"10, av. Léo Lagrange - 13160 Châteaurenard",1,104824,91,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Rex (Le),"10, av. Léo Lagrange - 13160 Châteaurenard",2,104825,142,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Rex (Le),"10, av. Léo Lagrange - 13160 Châteaurenard",3,104826,96,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,1,080391,573,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,2,080392,127,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,3,080393,114,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,4,080394,102,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,5,080395,103,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,6,080396,92,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,7,080400,191,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,8,080401,173,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,9,080402,124,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,10,080403,155,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,11,080404,91,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Buxerolles,rue Frères Lumières - 86180 Buxerolles,12,080405,329,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Aurore myCinewest,199 BOULEVARD DE LAVAL - 35500 Vitré,1,463650,150,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Aurore myCinewest,199 BOULEVARD DE LAVAL - 35500 Vitré,2,463651,94,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Aurore myCinewest,199 BOULEVARD DE LAVAL - 35500 Vitré,3,463652,219,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Aurore myCinewest,199 BOULEVARD DE LAVAL - 35500 Vitré,4,463653,81,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Aurore myCinewest,199 BOULEVARD DE LAVAL - 35500 Vitré,5,463654,333,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Aurore myCinewest,199 BOULEVARD DE LAVAL - 35500 Vitré,6,463655,81,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Balzac (Le),"16, place Aristide Briand - 37110 Château-Renault",1,104851,216,3D35mmNumérique,Numérique 2D,Jean-Michel,ccclebalzac@wanadoo.fr,
CGR Castres,72 chemin des Porches - 81100 Castres,1,089125,359,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,2,089126,234,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,3,089127,182,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,4,089128,71,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,5,089129,71,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,6,089130,64,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,7,089131,95,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,8,089132,102,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,9,089133,96,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Castres,72 chemin des Porches - 81100 Castres,10,089134,103,Numérique,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Apollo (L'),"4, rue Albert 1er - 36000 Châteauroux",1,104863,328,35mmNumérique,Numérique 2D,Camille Girard,"girard.apollo@gmail.com, emmanuelle.marcelot@equinoxe-chateauroux.fr, camille.girard@equinoxe-chateauroux.fr",
Saint-Jean,"2, rue Poincaré - 57170 Château-Salins",1,104933,190,35mmNumérique,IMAX 2D,Thierry Cacciatore,progcravlormetz@hotmail.fr,
Morclan 2000,Morclan 2000 - 74390 Châtel,1,,,Numérique,,Philippe Piccot,cinechablais@orange.fr,
Chamois (Le),"84, route de Vonnes - 74390 Châtel",1,105092,100,35mmNumérique,Numérique 2D,Philippe Piccot,cinechablais@orange.fr,
400 Coups (Les),"4, rue Aimé Rasseteau - 86100 Châtellerault",1,105375,129,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Vendelais (Le),"1, place de l'Eglise - 35210 Châtillon-en-Vendelais",1,105931,199,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Cinéma de Châtillon,"7 bis, rue de la Mairie - 92320 Châtillon",1,106031,226,3D35mmNumérique,Numérique 2D,Bertrand PINSAC,cinema@theatreachatillon.com,
Grand Rex,35 Rue de Port Vieux - 38550 Le Péage-de-Roussillon,1,305635,46,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Grand Rex,35 Rue de Port Vieux - 38550 Le Péage-de-Roussillon,2,305636,138,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Grand Rex,35 Rue de Port Vieux - 38550 Le Péage-de-Roussillon,3,305637,223,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Grand Rex,35 Rue de Port Vieux - 38550 Le Péage-de-Roussillon,4,305638,206,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Grand Rex,35 Rue de Port Vieux - 38550 Le Péage-de-Roussillon,5,305639,111,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,1,020685,150,35mmNumérique,"DolbyVision 2D, Numérique 2D",,Lydie Ratajczyk,lydie@mc4-distribution.fr
